Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type;Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Integration Testing in Software Product Line Engineering: A Model-Based Technique;Fundamental Approaches to Software Engineering;;;;10.1007/978-3-540-71289-3_25;Sacha ReisAndreas MetzgerKlaus Pohl;2007;http://link.springer.com/chapter/10.1007/978-3-540-71289-3_25;Chapter;"Integration Testing in Software Product Line Engineering: A Model-Based Technique,""Fundamental Approaches to Software Engineering"","""","""","""",""10.1007/978-3-540-71289-3_25"",""Sacha ReisAndreas MetzgerKlaus Pohl"",""2007"",""http://link.springer.com/chapter/10.1007/978-3-540-71289-3_25"",""Chapter"""
Putting Performance Engineering into Model-Driven Engineering: Model-Driven Performance Engineering;Models in Software Engineering;;;;10.1007/978-3-540-69073-3_18;Mathias FritzscheJendrik Johannes;2008;http://link.springer.com/chapter/10.1007/978-3-540-69073-3_18;Chapter;"Putting Performance Engineering into Model-Driven Engineering: Model-Driven Performance Engineering,""Models in Software Engineering"","""","""","""",""10.1007/978-3-540-69073-3_18"",""Mathias FritzscheJendrik Johannes"",""2008"",""http://link.springer.com/chapter/10.1007/978-3-540-69073-3_18"",""Chapter"""
Thin-Film Packaging;Microelectronics Packaging Handbook;;;;10.1007/978-1-4615-6037-1_6;Rao TummalaWeiping LiTed TessierTom Wassick;1997;http://link.springer.com/chapter/10.1007/978-1-4615-6037-1_6;Chapter;"Thin-Film Packaging,""Microelectronics Packaging Handbook"","""","""","""",""10.1007/978-1-4615-6037-1_6"",""Rao TummalaWeiping LiTed TessierTom Wassick"",""1997"",""http://link.springer.com/chapter/10.1007/978-1-4615-6037-1_6"",""Chapter"""
Report Management;Pro SQL Server Reporting Services;;;;10.1007/978-1-4302-0727-6_8;Rodney LandrumWalter J. Voytek II;2004;http://link.springer.com/chapter/10.1007/978-1-4302-0727-6_8;Chapter;"Report Management,""Pro SQL Server Reporting Services"","""","""","""",""10.1007/978-1-4302-0727-6_8"",""Rodney LandrumWalter J. Voytek II"",""2004"",""http://link.springer.com/chapter/10.1007/978-1-4302-0727-6_8"",""Chapter"""
Airport simulation using CORBA and DIS;High-Performance Computing and Networking;;;;10.1007/BFb0100567;Günther RacklFilippo de StefaniFrancois HéranAntonello PasquarelliThomas Ludwig;1999;http://link.springer.com/chapter/10.1007/BFb0100567;Chapter;"Airport simulation using CORBA and DIS,""High-Performance Computing and Networking"","""","""","""",""10.1007/BFb0100567"",""Günther RacklFilippo de StefaniFrancois HéranAntonello PasquarelliThomas Ludwig"",""1999"",""http://link.springer.com/chapter/10.1007/BFb0100567"",""Chapter"""
A survey: algorithms simulating bee swarm intelligence;Artificial Intelligence Review;;31;01/abr;10.1007/s10462-009-9127-4;Dervis KarabogaBahriye Akay;2009;http://link.springer.com/article/10.1007/s10462-009-9127-4;Article;"A survey: algorithms simulating bee swarm intelligence,""Artificial Intelligence Review"","""",""31"",""1 - 4"",""10.1007/s10462-009-9127-4"",""Dervis KarabogaBahriye Akay"",""2009"",""http://link.springer.com/article/10.1007/s10462-009-9127-4"",""Article"""
Automated bug assignment: Ensemble-based machine learning in large scale industrial contexts;Empirical Software Engineering;;21;4;10.1007/s10664-015-9401-9;Leif JonssonMarkus BorgDavid BromanKristian SandahlSigrid EldhPer Runeson;2016;http://link.springer.com/article/10.1007/s10664-015-9401-9;Article;"Automated bug assignment: Ensemble-based machine learning in large scale industrial contexts,""Empirical Software Engineering"","""",""21"",""4"",""10.1007/s10664-015-9401-9"",""Leif JonssonMarkus BorgDavid BromanKristian SandahlSigrid EldhPer Runeson"",""2016"",""http://link.springer.com/article/10.1007/s10664-015-9401-9"",""Article"""
Assisting Server for Secure Multi-Party Computation;Information Security Theory and Practice. Security, Privacy and Trust in Computing Systems and Ambient Intelligent Ecosystems;;;;10.1007/978-3-642-30955-7_13;Jens-Matthias BohliWenting LiJan Seedorf;2012;http://link.springer.com/chapter/10.1007/978-3-642-30955-7_13;Chapter;"Assisting Server for Secure Multi-Party Computation,""Information Security Theory and Practice. Security, Privacy and Trust in Computing Systems and Ambient Intelligent Ecosystems"","""","""","""",""10.1007/978-3-642-30955-7_13"",""Jens-Matthias BohliWenting LiJan Seedorf"",""2012"",""http://link.springer.com/chapter/10.1007/978-3-642-30955-7_13"",""Chapter"""
High dynamic adaptive mobility network model and performance analysis;Science in China Series F: Information Sciences;;51;8;10.1007/s11432-008-0035-z;Hui LiuJun Zhang;2008;http://link.springer.com/article/10.1007/s11432-008-0035-z;Article;"High dynamic adaptive mobility network model and performance analysis,""Science in China Series F: Information Sciences"","""",""51"",""8"",""10.1007/s11432-008-0035-z"",""Hui LiuJun Zhang"",""2008"",""http://link.springer.com/article/10.1007/s11432-008-0035-z"",""Article"""
An interactive 3D medical visualization system based on a light field display;The Visual Computer;;25;9;10.1007/s00371-009-0311-y;Marco AgusFabio BettioAndrea GiachettiEnrico GobbettiJosé Antonio Iglesias GuitiánFabio MartonJonas NilssonGiovanni Pintore;2009;http://link.springer.com/article/10.1007/s00371-009-0311-y;Article;"An interactive 3D medical visualization system based on a light field display,""The Visual Computer"","""",""25"",""9"",""10.1007/s00371-009-0311-y"",""Marco AgusFabio BettioAndrea GiachettiEnrico GobbettiJosé Antonio Iglesias GuitiánFabio MartonJonas NilssonGiovanni Pintore"",""2009"",""http://link.springer.com/article/10.1007/s00371-009-0311-y"",""Article"""
The MapReduce-based approach to improve the shortest path computation in large-scale road networks: the case of A* algorithm;Journal of Big Data;;5;1;10.1186/s40537-018-0125-8;Wilfried Yves Hamilton AdoniTarik NahhalBrahim AghezzafAbdeltif Elbyed;2018;http://link.springer.com/article/10.1186/s40537-018-0125-8;Article;"The MapReduce-based approach to improve the shortest path computation in large-scale road networks: the case of A* algorithm,""Journal of Big Data"","""",""5"",""1"",""10.1186/s40537-018-0125-8"",""Wilfried Yves Hamilton AdoniTarik NahhalBrahim AghezzafAbdeltif Elbyed"",""2018"",""http://link.springer.com/article/10.1186/s40537-018-0125-8"",""Article"""
GMBlock: Optimizing data movement in a block-level storage sharing system over Myrinet;Cluster Computing;;13;4;10.1007/s10586-009-0106-y;Evangelos KoukisAnastassios NanosNectarios Koziris;2010;http://link.springer.com/article/10.1007/s10586-009-0106-y;Article;"GMBlock: Optimizing data movement in a block-level storage sharing system over Myrinet,""Cluster Computing"","""",""13"",""4"",""10.1007/s10586-009-0106-y"",""Evangelos KoukisAnastassios NanosNectarios Koziris"",""2010"",""http://link.springer.com/article/10.1007/s10586-009-0106-y"",""Article"""
Scalable Workflow System Model Based on Mobile Agents;Intelligent Agents: Specification, Modeling, and Applications;;;;10.1007/3-540-44637-0_16;Jeong-Joon YooDoheon LeeYoung-Ho SuhDong-Ik Lee;2001;http://link.springer.com/chapter/10.1007/3-540-44637-0_16;Chapter;"Scalable Workflow System Model Based on Mobile Agents,""Intelligent Agents: Specification, Modeling, and Applications"","""","""","""",""10.1007/3-540-44637-0_16"",""Jeong-Joon YooDoheon LeeYoung-Ho SuhDong-Ik Lee"",""2001"",""http://link.springer.com/chapter/10.1007/3-540-44637-0_16"",""Chapter"""
Challenges of the Present and Future;The Ergonomics of Computer Pointing Devices;;;;10.1007/978-1-4471-0917-4_8;Sarah A. Douglas AB, MS, PhDAnant Kartik Mithal BTech, MS, PhD;1997;http://link.springer.com/chapter/10.1007/978-1-4471-0917-4_8;Chapter;"Challenges of the Present and Future,""The Ergonomics of Computer Pointing Devices"","""","""","""",""10.1007/978-1-4471-0917-4_8"",""Sarah A. Douglas AB, MS, PhDAnant Kartik Mithal BTech, MS, PhD"",""1997"",""http://link.springer.com/chapter/10.1007/978-1-4471-0917-4_8"",""Chapter"""
The Locally Nameless Representation;Journal of Automated Reasoning;;49;3;10.1007/s10817-011-9225-2;Arthur Charguéraud;2012;http://link.springer.com/article/10.1007/s10817-011-9225-2;Article;"The Locally Nameless Representation,""Journal of Automated Reasoning"","""",""49"",""3"",""10.1007/s10817-011-9225-2"",""Arthur Charguéraud"",""2012"",""http://link.springer.com/article/10.1007/s10817-011-9225-2"",""Article"""
How is Security Testing Done in Agile Teams? A Cross-Case Analysis of Four Software Teams;Agile Processes in Software Engineering and Extreme Programming;;;;10.1007/978-3-319-57633-6_13;Daniela Soares CruzesMichael FeldererTosin Daniel OyetoyanMatthias GanderIrdin Pekaric;2017;http://link.springer.com/chapter/10.1007/978-3-319-57633-6_13;Chapter;"How is Security Testing Done in Agile Teams? A Cross-Case Analysis of Four Software Teams,""Agile Processes in Software Engineering and Extreme Programming"","""","""","""",""10.1007/978-3-319-57633-6_13"",""Daniela Soares CruzesMichael FeldererTosin Daniel OyetoyanMatthias GanderIrdin Pekaric"",""2017"",""http://link.springer.com/chapter/10.1007/978-3-319-57633-6_13"",""Chapter"""
Portability of the Stochastic Parser;Stochastically-Based Semantic Analysis;;;;10.1007/978-1-4615-5255-0_6;Wolfgang MinkerAlex WaibelJoseph Mariani;1999;http://link.springer.com/chapter/10.1007/978-1-4615-5255-0_6;Chapter;"Portability of the Stochastic Parser,""Stochastically-Based Semantic Analysis"","""","""","""",""10.1007/978-1-4615-5255-0_6"",""Wolfgang MinkerAlex WaibelJoseph Mariani"",""1999"",""http://link.springer.com/chapter/10.1007/978-1-4615-5255-0_6"",""Chapter"""
Advances in fractal compression for multimedia applications;Multimedia Systems;;5;4;10.1007/s005300050059;John Kominek;1997;http://link.springer.com/article/10.1007/s005300050059;Article;"Advances in fractal compression for multimedia applications,""Multimedia Systems"","""",""5"",""4"",""10.1007/s005300050059"",""John Kominek"",""1997"",""http://link.springer.com/article/10.1007/s005300050059"",""Article"""
On the Merge of Factor Canonical Bases;Formal Concept Analysis;;;;10.1007/978-3-540-78137-0_14;Petko ValtchevVincent Duquenne;2008;http://link.springer.com/chapter/10.1007/978-3-540-78137-0_14;Chapter;"On the Merge of Factor Canonical Bases,""Formal Concept Analysis"","""","""","""",""10.1007/978-3-540-78137-0_14"",""Petko ValtchevVincent Duquenne"",""2008"",""http://link.springer.com/chapter/10.1007/978-3-540-78137-0_14"",""Chapter"""
Automatic Test Generation for Java Card Applets;Java on Smart Cards:Programming and Security;;;;10.1007/3-540-45165-X_10;Hugues MartinLydie du Bousquet;2001;http://link.springer.com/chapter/10.1007/3-540-45165-X_10;Chapter;"Automatic Test Generation for Java Card Applets,""Java on Smart Cards:Programming and Security"","""","""","""",""10.1007/3-540-45165-X_10"",""Hugues MartinLydie du Bousquet"",""2001"",""http://link.springer.com/chapter/10.1007/3-540-45165-X_10"",""Chapter"""
Collaborative Innovation Tools;New Frontiers in Artificial Intelligence;;;;10.1007/3-540-45548-5_4;John C. Thomas;2001;http://link.springer.com/chapter/10.1007/3-540-45548-5_4;Chapter;"Collaborative Innovation Tools,""New Frontiers in Artificial Intelligence"","""","""","""",""10.1007/3-540-45548-5_4"",""John C. Thomas"",""2001"",""http://link.springer.com/chapter/10.1007/3-540-45548-5_4"",""Chapter"""
Protocol-Based Web Service Composition;Service-Oriented Computing – ICSOC 2008;;;;10.1007/978-3-540-89652-4_7;Ramy Ragab HassenLhouari NourineFarouk Toumani;2008;http://link.springer.com/chapter/10.1007/978-3-540-89652-4_7;Chapter;"Protocol-Based Web Service Composition,""Service-Oriented Computing – ICSOC 2008"","""","""","""",""10.1007/978-3-540-89652-4_7"",""Ramy Ragab HassenLhouari NourineFarouk Toumani"",""2008"",""http://link.springer.com/chapter/10.1007/978-3-540-89652-4_7"",""Chapter"""
StreamIt: A Language for Streaming Applications;Compiler Construction;;;;10.1007/3-540-45937-5_14;William ThiesMichal KarczmarekSaman Amarasinghe;2002;http://link.springer.com/chapter/10.1007/3-540-45937-5_14;Chapter;"StreamIt: A Language for Streaming Applications,""Compiler Construction"","""","""","""",""10.1007/3-540-45937-5_14"",""William ThiesMichal KarczmarekSaman Amarasinghe"",""2002"",""http://link.springer.com/chapter/10.1007/3-540-45937-5_14"",""Chapter"""
SCI Sockets Library;SCI: Scalable Coherent Interface;;;;10.1007/10704208_16;Hermann HellwagnerJosef Weidendorfer;1999;http://link.springer.com/chapter/10.1007/10704208_16;Chapter;"SCI Sockets Library,""SCI: Scalable Coherent Interface"","""","""","""",""10.1007/10704208_16"",""Hermann HellwagnerJosef Weidendorfer"",""1999"",""http://link.springer.com/chapter/10.1007/10704208_16"",""Chapter"""
APIs, Standards, and Databases;Guide to Biometrics;;;;10.1007/978-1-4757-4036-3_13;Ruud M. BolleJonathan H. ConnellSharath PankantiNalini K. RathaAndrew W. Senior;2004;http://link.springer.com/chapter/10.1007/978-1-4757-4036-3_13;Chapter;"APIs, Standards, and Databases,""Guide to Biometrics"","""","""","""",""10.1007/978-1-4757-4036-3_13"",""Ruud M. BolleJonathan H. ConnellSharath PankantiNalini K. RathaAndrew W. Senior"",""2004"",""http://link.springer.com/chapter/10.1007/978-1-4757-4036-3_13"",""Chapter"""
Evaluation of Image Fusion Performance with Visible Differences;Computer Vision - ECCV 2004;;;;10.1007/978-3-540-24672-5_30;Vladimir PetrovićCostas Xydeas;2004;http://link.springer.com/chapter/10.1007/978-3-540-24672-5_30;Chapter;"Evaluation of Image Fusion Performance with Visible Differences,""Computer Vision - ECCV 2004"","""","""","""",""10.1007/978-3-540-24672-5_30"",""Vladimir PetrovićCostas Xydeas"",""2004"",""http://link.springer.com/chapter/10.1007/978-3-540-24672-5_30"",""Chapter"""
Prototype of High Performance Scalable Advertising Server with Local Memory Storage and Centralised Processing;Information and Communication Technologies;;;;10.1007/978-3-642-32808-4_18;Jakub Marszałkowski;2012;http://link.springer.com/chapter/10.1007/978-3-642-32808-4_18;Chapter;"Prototype of High Performance Scalable Advertising Server with Local Memory Storage and Centralised Processing,""Information and Communication Technologies"","""","""","""",""10.1007/978-3-642-32808-4_18"",""Jakub Marszałkowski"",""2012"",""http://link.springer.com/chapter/10.1007/978-3-642-32808-4_18"",""Chapter"""
Constructing strongly convex approximate hulls with inaccurate primitives;Algorithmica;;9;6;10.1007/BF01190154;Leonidas GuibasDavid SalesinJorge Stolfi;1993;http://link.springer.com/article/10.1007/BF01190154;Article;"Constructing strongly convex approximate hulls with inaccurate primitives,""Algorithmica"","""",""9"",""6"",""10.1007/BF01190154"",""Leonidas GuibasDavid SalesinJorge Stolfi"",""1993"",""http://link.springer.com/article/10.1007/BF01190154"",""Article"""
Plastic Packaging;Microelectronics Packaging Handbook;;;;10.1007/978-1-4615-6037-1_4;Michael G. PechtLuu T. Nguyen;1997;http://link.springer.com/chapter/10.1007/978-1-4615-6037-1_4;Chapter;"Plastic Packaging,""Microelectronics Packaging Handbook"","""","""","""",""10.1007/978-1-4615-6037-1_4"",""Michael G. PechtLuu T. Nguyen"",""1997"",""http://link.springer.com/chapter/10.1007/978-1-4615-6037-1_4"",""Chapter"""
The impact of the medium of instruction: The case of teaching and learning of computer programming;Education and Information Technologies;;16;2;10.1007/s10639-009-9118-8;Wilfred W. F. LauAllan H. K. Yuen;2011;http://link.springer.com/article/10.1007/s10639-009-9118-8;Article;"The impact of the medium of instruction: The case of teaching and learning of computer programming,""Education and Information Technologies"","""",""16"",""2"",""10.1007/s10639-009-9118-8"",""Wilfred W. F. LauAllan H. K. Yuen"",""2011"",""http://link.springer.com/article/10.1007/s10639-009-9118-8"",""Article"""
A Synthetic Fraud Data Generation Methodology;Information and Communications Security;;;;10.1007/3-540-36159-6_23;Emilie LundinHåkan KvarnströmErland Jonsson;2002;http://link.springer.com/chapter/10.1007/3-540-36159-6_23;Chapter;"A Synthetic Fraud Data Generation Methodology,""Information and Communications Security"","""","""","""",""10.1007/3-540-36159-6_23"",""Emilie LundinHåkan KvarnströmErland Jonsson"",""2002"",""http://link.springer.com/chapter/10.1007/3-540-36159-6_23"",""Chapter"""
A novel energy efficient and scalable hybrid-mac protocol for massive M2M networks;Cluster Computing;;;;10.1007/s10586-018-1948-y;Pawan Kumar VermaRajesh VermaMohammad Meftah AlrayesArun PrakashRajeev TripathiKshirasagar Naik;2018;http://link.springer.com/article/10.1007/s10586-018-1948-y;Article;"A novel energy efficient and scalable hybrid-mac protocol for massive M2M networks,""Cluster Computing"","""","""","""",""10.1007/s10586-018-1948-y"",""Pawan Kumar VermaRajesh VermaMohammad Meftah AlrayesArun PrakashRajeev TripathiKshirasagar Naik"",""2018"",""http://link.springer.com/article/10.1007/s10586-018-1948-y"",""Article"""
Tracing the evaluation of lazy functional languages: A model and its implementation;Advances in Computing Science — ASIAN'97;;;;10.1007/3-540-63875-X_63;Richard WatsonEric Salzman;1997;http://link.springer.com/chapter/10.1007/3-540-63875-X_63;Chapter;"Tracing the evaluation of lazy functional languages: A model and its implementation,""Advances in Computing Science — ASIAN'97"","""","""","""",""10.1007/3-540-63875-X_63"",""Richard WatsonEric Salzman"",""1997"",""http://link.springer.com/chapter/10.1007/3-540-63875-X_63"",""Chapter"""
ADO Command Strategies;ADO.NET and ADO Examples and Best Practices for VB Programmers;;;;10.1007/978-1-4302-0671-2_5;William R. Vaughn;2002;http://link.springer.com/chapter/10.1007/978-1-4302-0671-2_5;Chapter;"ADO Command Strategies,""ADO.NET and ADO Examples and Best Practices for VB Programmers"","""","""","""",""10.1007/978-1-4302-0671-2_5"",""William R. Vaughn"",""2002"",""http://link.springer.com/chapter/10.1007/978-1-4302-0671-2_5"",""Chapter"""
Painting canvas synthesis;The Visual Computer;;20;5;10.1007/s00371-004-0240-8;Frédéric DragoNorishige Chiba;2004;http://link.springer.com/article/10.1007/s00371-004-0240-8;Article;"Painting canvas synthesis,""The Visual Computer"","""",""20"",""5"",""10.1007/s00371-004-0240-8"",""Frédéric DragoNorishige Chiba"",""2004"",""http://link.springer.com/article/10.1007/s00371-004-0240-8"",""Article"""
Performance analysis of MPI collective operations;Cluster Computing;;10;2;10.1007/s10586-007-0012-0;Jelena Pješivac-GrbovićThara AngskunGeorge BosilcaGraham E. FaggEdgar GabrielJack J. Dongarra;2007;http://link.springer.com/article/10.1007/s10586-007-0012-0;Article;"Performance analysis of MPI collective operations,""Cluster Computing"","""",""10"",""2"",""10.1007/s10586-007-0012-0"",""Jelena Pješivac-GrbovićThara AngskunGeorge BosilcaGraham E. FaggEdgar GabrielJack J. Dongarra"",""2007"",""http://link.springer.com/article/10.1007/s10586-007-0012-0"",""Article"""
Microelectronics Packaging—An Overview;Microelectronics Packaging Handbook;;;;10.1007/978-1-4615-6037-1_1;Eugene J. RymaszewskiRao R. TummalaToshihiko Watari;1997;http://link.springer.com/chapter/10.1007/978-1-4615-6037-1_1;Chapter;"Microelectronics Packaging—An Overview,""Microelectronics Packaging Handbook"","""","""","""",""10.1007/978-1-4615-6037-1_1"",""Eugene J. RymaszewskiRao R. TummalaToshihiko Watari"",""1997"",""http://link.springer.com/chapter/10.1007/978-1-4615-6037-1_1"",""Chapter"""
Modeling and Characterization of Leakage Inductances for Transformer Winding Fault Studies;Technological Innovation for the Internet of Things;;;;10.1007/978-3-642-37291-9_45;Luís M. R. OliveiraA. J. Marques Cardoso;2013;http://link.springer.com/chapter/10.1007/978-3-642-37291-9_45;Chapter;"Modeling and Characterization of Leakage Inductances for Transformer Winding Fault Studies,""Technological Innovation for the Internet of Things"","""","""","""",""10.1007/978-3-642-37291-9_45"",""Luís M. R. OliveiraA. J. Marques Cardoso"",""2013"",""http://link.springer.com/chapter/10.1007/978-3-642-37291-9_45"",""Chapter"""
Mathematical Preliminaries;Self-Organizing Maps;;;;10.1007/978-3-642-97966-8_1;Professor Teuvo Kohonen;1997;http://link.springer.com/chapter/10.1007/978-3-642-97966-8_1;Chapter;"Mathematical Preliminaries,""Self-Organizing Maps"","""","""","""",""10.1007/978-3-642-97966-8_1"",""Professor Teuvo Kohonen"",""1997"",""http://link.springer.com/chapter/10.1007/978-3-642-97966-8_1"",""Chapter"""
An efficient approach to an automatic detection of erythemato-squamous diseases;Neural Computing and Applications;;25;1;10.1007/s00521-013-1452-5;K. S. RavichandranBadrinath NarayanamurthyGopinath GanapathySri RavalliJaladhanki Sindhura;2014;http://link.springer.com/article/10.1007/s00521-013-1452-5;Article;"An efficient approach to an automatic detection of erythemato-squamous diseases,""Neural Computing and Applications"","""",""25"",""1"",""10.1007/s00521-013-1452-5"",""K. S. RavichandranBadrinath NarayanamurthyGopinath GanapathySri RavalliJaladhanki Sindhura"",""2014"",""http://link.springer.com/article/10.1007/s00521-013-1452-5"",""Article"""
A Parallel Krylov-Type Method for Nonsymmetric Linear Systems;High Performance Computing — HiPC 2001;;;;10.1007/3-540-45307-5_10;Anthony T. ChronopoulosAndrey B. Kucherov;2001;http://link.springer.com/chapter/10.1007/3-540-45307-5_10;Chapter;"A Parallel Krylov-Type Method for Nonsymmetric Linear Systems,""High Performance Computing — HiPC 2001"","""","""","""",""10.1007/3-540-45307-5_10"",""Anthony T. ChronopoulosAndrey B. Kucherov"",""2001"",""http://link.springer.com/chapter/10.1007/3-540-45307-5_10"",""Chapter"""
Match-on-Card for Secure and Scalable Biometric Authentication;Advances in Biometrics;;;;10.1007/978-1-84628-921-7_21;Christer Bergman;2008;http://link.springer.com/chapter/10.1007/978-1-84628-921-7_21;Chapter;"Match-on-Card for Secure and Scalable Biometric Authentication,""Advances in Biometrics"","""","""","""",""10.1007/978-1-84628-921-7_21"",""Christer Bergman"",""2008"",""http://link.springer.com/chapter/10.1007/978-1-84628-921-7_21"",""Chapter"""
Intelligent Fault-Tolerant Web Caching Service on Application Level Active Networks;Computational Science and Its Applications — ICCSA 2003;;;;10.1007/3-540-44839-X_16;Sungjune HongKeecheon KimSunyoung Han;2003;http://link.springer.com/chapter/10.1007/3-540-44839-X_16;Chapter;"Intelligent Fault-Tolerant Web Caching Service on Application Level Active Networks,""Computational Science and Its Applications — ICCSA 2003"","""","""","""",""10.1007/3-540-44839-X_16"",""Sungjune HongKeecheon KimSunyoung Han"",""2003"",""http://link.springer.com/chapter/10.1007/3-540-44839-X_16"",""Chapter"""
Image Compression;Data Compression;;;;10.1007/0-387-21832-7_5;;2004;http://link.springer.com/chapter/10.1007/0-387-21832-7_5;Chapter;"Image Compression,""Data Compression"","""","""","""",""10.1007/0-387-21832-7_5"","""",""2004"",""http://link.springer.com/chapter/10.1007/0-387-21832-7_5"",""Chapter"""
Building effective mutual exclusion services for grids;The Journal of Supercomputing;;49;1;10.1007/s11227-008-0235-8;Julien SopenaLuciana ArantesFabrice Legond-AubryPierre Sens;2009;http://link.springer.com/article/10.1007/s11227-008-0235-8;Article;"Building effective mutual exclusion services for grids,""The Journal of Supercomputing"","""",""49"",""1"",""10.1007/s11227-008-0235-8"",""Julien SopenaLuciana ArantesFabrice Legond-AubryPierre Sens"",""2009"",""http://link.springer.com/article/10.1007/s11227-008-0235-8"",""Article"""
ToCL: A Thread Oriented Communication Library to Interface VIA and GM Protocols;Computational Science — ICCS 2003;;;;10.1007/3-540-44862-4_110;Albano AlvesAntónio PinaJosé ExpostoJosé Rufino;2003;http://link.springer.com/chapter/10.1007/3-540-44862-4_110;Chapter;"ToCL: A Thread Oriented Communication Library to Interface VIA and GM Protocols,""Computational Science — ICCS 2003"","""","""","""",""10.1007/3-540-44862-4_110"",""Albano AlvesAntónio PinaJosé ExpostoJosé Rufino"",""2003"",""http://link.springer.com/chapter/10.1007/3-540-44862-4_110"",""Chapter"""
Simulation Models;Virtual Clothing;;;;10.1007/978-3-642-57278-4_2;Pascal VolinoNadia Magnenat-Thalmann;2000;http://link.springer.com/chapter/10.1007/978-3-642-57278-4_2;Chapter;"Simulation Models,""Virtual Clothing"","""","""","""",""10.1007/978-3-642-57278-4_2"",""Pascal VolinoNadia Magnenat-Thalmann"",""2000"",""http://link.springer.com/chapter/10.1007/978-3-642-57278-4_2"",""Chapter"""
Select;SQL Server 2008 Transact-SQL Recipes;;;;10.1007/978-1-4302-0625-5_1;;2008;http://link.springer.com/chapter/10.1007/978-1-4302-0625-5_1;Chapter;"Select,""SQL Server 2008 Transact-SQL Recipes"","""","""","""",""10.1007/978-1-4302-0625-5_1"","""",""2008"",""http://link.springer.com/chapter/10.1007/978-1-4302-0625-5_1"",""Chapter"""
A Grid-enabled CPU Scavenging Architecture and a Case Study of its Use in the Greek School Network;Journal of Grid Computing;;8;1;10.1007/s10723-009-9143-2;Fotis GeorgatosVasileios GkamasAristeidis IliasGiannis KouretisEmmanouel Varvarigos;2010;http://link.springer.com/article/10.1007/s10723-009-9143-2;Article;"A Grid-enabled CPU Scavenging Architecture and a Case Study of its Use in the Greek School Network,""Journal of Grid Computing"","""",""8"",""1"",""10.1007/s10723-009-9143-2"",""Fotis GeorgatosVasileios GkamasAristeidis IliasGiannis KouretisEmmanouel Varvarigos"",""2010"",""http://link.springer.com/article/10.1007/s10723-009-9143-2"",""Article"""
MPEG-7 Standardisation of the Curvature Scale Space Shape Descriptor;Curvature Scale Space Representation: Theory, Applications, and MPEG-7 Standardization;;;;10.1007/978-94-017-0343-7_6;Farzin MokhtarianMiroslaw Bober;2003;http://link.springer.com/chapter/10.1007/978-94-017-0343-7_6;Chapter;"MPEG-7 Standardisation of the Curvature Scale Space Shape Descriptor,""Curvature Scale Space Representation: Theory, Applications, and MPEG-7 Standardization"","""","""","""",""10.1007/978-94-017-0343-7_6"",""Farzin MokhtarianMiroslaw Bober"",""2003"",""http://link.springer.com/chapter/10.1007/978-94-017-0343-7_6"",""Chapter"""
A Design Pattern for Component Oriented Development of Agent Based Multithreaded Applications;Euro-Par 2008 – Parallel Processing;;;;10.1007/978-3-540-85451-7_76;A. L. RodríguezP. E. López-de-TeruelA. RuizG. García-MateosL. Fernóndez;2008;http://link.springer.com/chapter/10.1007/978-3-540-85451-7_76;Chapter;"A Design Pattern for Component Oriented Development of Agent Based Multithreaded Applications,""Euro-Par 2008 – Parallel Processing"","""","""","""",""10.1007/978-3-540-85451-7_76"",""A. L. RodríguezP. E. López-de-TeruelA. RuizG. García-MateosL. Fernóndez"",""2008"",""http://link.springer.com/chapter/10.1007/978-3-540-85451-7_76"",""Chapter"""
Language Specifics;Maximizing .NET Performance;;;;10.1007/978-1-4302-0784-9_6;Nick Wienholt;2004;http://link.springer.com/chapter/10.1007/978-1-4302-0784-9_6;Chapter;"Language Specifics,""Maximizing .NET Performance"","""","""","""",""10.1007/978-1-4302-0784-9_6"",""Nick Wienholt"",""2004"",""http://link.springer.com/chapter/10.1007/978-1-4302-0784-9_6"",""Chapter"""
Signature Generation and Detection of Malware Families;Information Security and Privacy;;;;10.1007/978-3-540-70500-0_25;V. Sai SathyanarayanPankaj KohliBezawada Bruhadeshwar;2008;http://link.springer.com/chapter/10.1007/978-3-540-70500-0_25;Chapter;"Signature Generation and Detection of Malware Families,""Information Security and Privacy"","""","""","""",""10.1007/978-3-540-70500-0_25"",""V. Sai SathyanarayanPankaj KohliBezawada Bruhadeshwar"",""2008"",""http://link.springer.com/chapter/10.1007/978-3-540-70500-0_25"",""Chapter"""
Implementing a Declarative String Query Language with String Restructuring;Practical Aspects of Declarative Languages;;;;10.1007/3-540-49201-1_13;Raul HakliMatti NykänenHellis TammEsko Ukkonen;1998;http://link.springer.com/chapter/10.1007/3-540-49201-1_13;Chapter;"Implementing a Declarative String Query Language with String Restructuring,""Practical Aspects of Declarative Languages"","""","""","""",""10.1007/3-540-49201-1_13"",""Raul HakliMatti NykänenHellis TammEsko Ukkonen"",""1998"",""http://link.springer.com/chapter/10.1007/3-540-49201-1_13"",""Chapter"""
